#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.121628E+00   0.206545E+07   0.205600E+07  -0.339895E+01  -0.339896E+01   0.135819E+06   0.205528E+07   0.206397E+07   0.205528E+07  -0.490984E-01   0.108663E+07   0.108658E+07   0.145018E+00
   0.124378E+00   0.202314E+07   0.201457E+07  -0.318394E+01  -0.318395E+01   0.128853E+06   0.201326E+07   0.202179E+07   0.201326E+07  -0.480947E-01   0.106442E+07   0.106438E+07   0.122694E+00
   0.127129E+00   0.198095E+07   0.197310E+07  -0.298431E+01  -0.298432E+01   0.122263E+06   0.197135E+07   0.197972E+07   0.197135E+07  -0.470934E-01   0.104227E+07   0.104223E+07   0.105463E+00
   0.129880E+00   0.193796E+07   0.193067E+07  -0.279736E+01  -0.279737E+01   0.115969E+06   0.192861E+07   0.193681E+07   0.192861E+07  -0.460724E-01   0.101967E+07   0.101964E+07   0.933847E-01
   0.132631E+00   0.189359E+07   0.188667E+07  -0.262124E+01  -0.262125E+01   0.109919E+06   0.188447E+07   0.189250E+07   0.188447E+07  -0.450180E-01   0.996343E+06   0.996309E+06   0.861802E-01
   0.135382E+00   0.184765E+07   0.184092E+07  -0.245484E+01  -0.245485E+01   0.104087E+06   0.183874E+07   0.184659E+07   0.183874E+07  -0.439255E-01   0.972167E+06   0.972133E+06   0.832925E-01
   0.138132E+00   0.180027E+07   0.179358E+07  -0.229762E+01  -0.229763E+01   0.984710E+05   0.179155E+07   0.179922E+07   0.179155E+07  -0.427982E-01   0.947223E+06   0.947188E+06   0.839571E-01
   0.140883E+00   0.175185E+07   0.174507E+07  -0.214939E+01  -0.214940E+01   0.930793E+05   0.174331E+07   0.175078E+07   0.174331E+07  -0.416459E-01   0.921723E+06   0.921686E+06   0.872798E-01
   0.143634E+00   0.170294E+07   0.169597E+07  -0.201012E+01  -0.201013E+01   0.879282E+05   0.169457E+07   0.170185E+07   0.169457E+07  -0.404816E-01   0.895958E+06   0.895918E+06   0.923145E-01
   0.146385E+00   0.165414E+07   0.164692E+07  -0.187981E+01  -0.187982E+01   0.830338E+05   0.164593E+07   0.165301E+07   0.164593E+07  -0.393196E-01   0.870244E+06   0.870201E+06   0.981346E-01
